celltype_raw,celltype_id,sample,study,n_counts,n_genes,celltype_name,doublet_score,pred_dbl,Disease,query_group,query,method,rank,score,item_id
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058968,DS000011735,2868.09423828125,2527,alveolar macrophage,0.05316321924328804,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,3,0.9988678693771362,cell-9656
Macrophage,CL:0000235,DS000011735-GSM4058912,DS000011735,3218.71240234375,2809,macrophage,0.043050769716501236,False,healthy,healthy::macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,4,0.9987170100212097,cell-38120
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058900,DS000011735,3256.235107421875,3349,alveolar macrophage,0.03042290359735489,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,5,0.9986220002174377,cell-4861
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,2967.7607421875,2604,alveolar macrophage,0.06858399510383606,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,6,0.998564600944519,cell-2491
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058928,DS000011735,3131.568603515625,2497,alveolar macrophage,0.044395528733730316,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,7,0.9984865784645081,cell-22163
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058963,DS000011735,3197.254150390625,2942,alveolar macrophage,0.06232031434774399,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,8,0.9984853267669678,cell-46706
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,3085.1025390625,3080,alveolar macrophage,0.01957782544195652,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,9,0.9984705448150635,cell-7018
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058909,DS000011735,2969.734619140625,2055,alveolar macrophage,0.0060185836628079414,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b3,10,0.9984509348869324,cell-13641
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058967,DS000011735,3124.434326171875,2404,alveolar macrophage,0.0308998916298151,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,1,0.9988834261894226,cell-31833
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,3285.0361328125,3128,alveolar macrophage,0.06679758429527283,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,2,0.9988425970077515,cell-21775
Macrophage,CL:0000235,DS000011735-GSM4058912,DS000011735,3218.71240234375,2809,macrophage,0.043050769716501236,False,healthy,healthy::macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,3,0.9987170100212097,cell-38120
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,3321.32861328125,3370,alveolar macrophage,0.09111630171537399,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,4,0.9986338019371033,cell-24946
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058959,DS000011735,2967.7607421875,2604,alveolar macrophage,0.06858399510383606,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,5,0.998564600944519,cell-2491
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058949,DS000011735,3205.6708984375,3142,alveolar macrophage,0.03070337139070034,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,6,0.9984896183013916,cell-10936
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058928,DS000011735,3131.568603515625,2497,alveolar macrophage,0.044395528733730316,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,7,0.9984865784645081,cell-22163
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058963,DS000011735,3197.254150390625,2942,alveolar macrophage,0.06232031434774399,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,8,0.9984853267669678,cell-46706
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,3085.1025390625,3080,alveolar macrophage,0.01957782544195652,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,9,0.9984705448150635,cell-7018
